500002,"(2,1,2,2)","(2,-20,-9,-1)","(178)"
500002,"(3,5,4,10)","(2,20,13,3)","(9434)"
500002,"(2,6,13,27)","(2,6,13,27)","(9434)"
500002,"(4,17,2,51)","(4,17,2,51)","(178,1424,9434,11392,75472,603776)"
500003,"(10,6,38,9)","(10,6,38,9)","(500003,4000024)"
500004,"(18,15,30,13)","(13,-30,15,-18)","(27778)"
500004,"(3,3,51,17)","(3,3,51,17)","(27778)"
500004,"(12,12,54,17)","(3,147,-99,17)","(13889,27778)"
500004,"(7,15,9,35)","(7,15,9,35)","(27778)"
500004,"(3,15,9,145)","(3,15,9,145)","(13889,27778)"
500004,"(6,24,24,43)","(43,0,-12,-6)","(27778)"
500004,"(33,39,51,17)","(17,-51,39,-33)","(13889,27778)"
500005,"(10,33,34,38)","(37,106,57,10)","(500005,4000040)"
500006,"(1,21,7,29)","(1,21,7,29)","(250003,500006)"
500006,"(2,4,40,99)","(2,4,40,99)","(250003,500006,2000024)"
500006,"(8,1,24,19)","(19,-24,1,-8)","(1000012)"
500006,"(13,14,19,4)","(13,14,19,4)","(38462,84501014)"
500007,"(3,25,-40,-2)","(3,25,-40,-2)","(166669,500007,1333352,4000056,4500063,13500189,36000504,108001512)"
500008,"(2,23,-12,-16)","(3,40,-29,2)","(125002)"
500008,"(2,15,-28,-25)","(7,-129,-92,-16)","(125002)"
500008,"(6,1,-22,-4)","(19,-2,-19,6)","(250004)"
500008,"(7,8,-33,2)","(7,8,-33,2)","(125002)"
500008,"(2,2,37,45)","(3,-206,81,-8)","(250004)"
500008,"(1,13,21,137)","(1,13,21,137)","(62501,125002)"
500008,"(16,1,20,-8)","(2,377,160,17)","(62501,125002)"
500008,"(4,9,-26,4)","(101,-49,-34,-4)","(250004)"
500008,"(4,14,-13,-9)","(11,-67,-34,-4)","(250004)"
500008,"(4,6,-23,-4)","(11,-49,-30,-4)","(250004)"
500008,"(2,10,-1,32)","(37,-49,-20,-2)","(125002,250004)"
500010,"(3,24,-7,-16)","(3,24,-7,-16)","(1000020)"
500011,"(7,9,34,44)","(7,9,34,44)","(500011,4000088)"
500012,"(3,16,11,78)","(3,16,11,78)","(125003)"
500012,"(17,21,31,23)","(4,40,30,17)","(250006)"
500012,"(4,20,36,91)","(4,20,36,91)","(250006)"
500012,"(4,4,30,71)","(4,4,30,71)","(250006)"
500013,"(6,36,6,-13)","(2,96,72,13)","(6173,18519,49384,148152)"
500016,"(12,5,18,3)","(3,-18,5,-12)","(62502)"
500016,"(10,4,14,5)","(11,-55,31,-5)","(31251,62502)"
500016,"(5,4,28,20)","(9,35,11,5)","(10417,20834,31251,62502,281259,562518,843777,1687554,7593993,15187986,22781979,45563958)"
500018,"(2,7,26,118)","(2,7,26,118)","(250009,500018,2000072,4000144)"
500019,"(6,9,-46,9)","(1,-62,45,-6)","(500019,4000152)"
500019,"(18,17,26,9)","(9,-26,17,-18)","(500019,4000152,13500513,108004104)"
500021,"(3,7,-51,-17)","(17,-51,-7,3)","(500021,4000168)"
500024,"(13,3,14,10)","(13,3,14,10)","(250012)"
500025,"(1,7,-39,-15)","(1,7,-39,-15)","(100005,800040)"
500025,"(3,15,16,18)","(3,15,16,18)","(20001,160008)"
500025,"(2,10,19,74)","(2,10,19,74)","(100005,800040)"
500026,"(7,6,11,30)","(7,6,11,30)","(500026)"
500026,"(13,6,31,16)","(13,6,31,16)","(500026)"
500026,"(2,20,-19,-44)","(2,20,-19,-44)","(500026)"
500029,"(2,15,26,139)","(2,15,26,139)","(500029,4000232)"
500030,"(10,6,11,29)","(10,6,11,29)","(100006,500030,12500750,62503750)"
500031,"(4,18,-63,-7)","(7,-63,-18,4)","(55559,444472)"
